iter	TotalF1:average=Macro	MultiClass
0	0.06304692982	2.449970364
1	0.03980446927	2.283338799
2	0.03980446927	2.156341787
3	0.1530397291	1.724222163
4	0.2174564255	1.462427019
5	0.2314396737	1.274286902
6	0.2754567347	1.137925921
7	0.2754567347	1.03809192
8	0.2754567347	0.9465825454
9	0.2754567347	0.8809185493
10	0.2754567347	0.8114604335
11	0.2754567347	0.7671216985
12	0.2754567347	0.7195453248
13	0.2855542371	0.6771718791
14	0.2964957155	0.6405569888
15	0.3311238341	0.6047887838
16	0.3618374543	0.5724487252
17	0.3570184302	0.5450214937
18	0.36551285	0.5213697784
19	0.3690212765	0.5002817962
20	0.3722902847	0.4818262478
21	0.3850574867	0.4650789266
22	0.3879409159	0.4504696131
23	0.3967490037	0.4346891112
24	0.3987461904	0.4237142494
25	0.3992150946	0.4136055448
26	0.3998561182	0.4050232864
27	0.3998561182	0.3961776812
28	0.3982579065	0.3890942155
29	0.4175277323	0.3802092787
30	0.4193659676	0.377141898
31	0.4149945451	0.3717659464
32	0.4391177841	0.3646950251
33	0.4351238581	0.3615461139
34	0.4351238581	0.3575236179
35	0.4467074109	0.3531347897
36	0.4467074109	0.3504258133
37	0.4467074109	0.348936607
38	0.4499165206	0.3464321989
39	0.4478923545	0.3419450452
40	0.4490810671	0.3413079437
41	0.4490810671	0.3398346545
42	0.4540025004	0.3366639953
43	0.4533077403	0.3342492863
44	0.4533077403	0.3320897714
45	0.4533077403	0.3299399513
46	0.4533077403	0.3282046856
47	0.4533077403	0.3259740218
48	0.4533077403	0.3254681553
49	0.4533077403	0.3251312819
50	0.4533077403	0.3209561502
51	0.4529856427	0.3185597607
52	0.4529856427	0.3172462263
53	0.4529856427	0.3168353299
54	0.4529856427	0.316269199
55	0.4529856427	0.3158197106
56	0.4506193088	0.3141179705
57	0.4503016912	0.3119513879
58	0.4503016912	0.3117869728
59	0.4506472959	0.3090095357
60	0.4506472959	0.3086515368
61	0.4503016912	0.3074402814
62	0.4850950914	0.3051863966
63	0.4850950914	0.3044463244
64	0.4840875262	0.3029988032
65	0.4840453266	0.3029565385
66	0.4912847991	0.3024038999
67	0.4912847991	0.3013506655
68	0.4912847991	0.3011304934
69	0.4905661106	0.2998093724
70	0.4918593714	0.2983079633
71	0.4923242782	0.2970600959
72	0.4980907605	0.2968773231
73	0.5024690365	0.2955169823
74	0.5024690365	0.2952516664
75	0.4970409958	0.2942945767
76	0.5079984105	0.2927462332
77	0.5125291902	0.2912367431
78	0.5125291902	0.2891555988
79	0.5125291902	0.2888330435
80	0.5125291902	0.2867591432
81	0.5125291902	0.2865697501
82	0.5125291902	0.2861035008
83	0.5125291902	0.2855896948
84	0.5177117043	0.2844283747
85	0.5185078826	0.2828828055
86	0.518167313	0.2821208703
87	0.5222251914	0.2815766605
88	0.5222251914	0.2806312446
89	0.5222251914	0.2801977101
90	0.5222251914	0.2796197364
91	0.5224684672	0.2790821189
92	0.5224684672	0.2788900676
93	0.5223469155	0.2770776035
94	0.5228518689	0.2758997726
95	0.5228518689	0.2750674977
96	0.5225103142	0.274402638
97	0.5228518689	0.2731794381
98	0.5228518689	0.2724360361
99	0.5265078436	0.271112631
100	0.5265078436	0.2703666984
101	0.5268468502	0.2691741092
102	0.5268468502	0.2689627967
103	0.5268468502	0.2687473329
104	0.5268468502	0.2685858804
105	0.5268468502	0.2671974942
106	0.5268468502	0.2666295584
107	0.5268468502	0.2665405324
108	0.5316202822	0.2662189183
109	0.5316202822	0.2661321443
110	0.5316202822	0.2657976584
111	0.5316202822	0.2654634911
112	0.5316202822	0.2654306512
113	0.5316202822	0.2650619536
114	0.5442860019	0.2643304168
115	0.5551417876	0.2641097926
116	0.5551417876	0.2638675792
117	0.5551417876	0.2634001052
118	0.5551417876	0.2631984433
119	0.5593461038	0.2618228364
120	0.5593461038	0.261486446
121	0.559682833	0.2608424293
122	0.559682833	0.2602911028
123	0.559682833	0.2601476019
124	0.559682833	0.2596084787
125	0.559682833	0.259385227
126	0.5635667326	0.2592254333
127	0.5671657801	0.258786818
128	0.5671657801	0.2573617965
129	0.5671657801	0.2568823799
130	0.5671657801	0.2558330817
131	0.5671657801	0.2550307507
132	0.5671657801	0.2548794354
133	0.5671657801	0.2545500095
134	0.5671657801	0.2541593051
135	0.5671657801	0.2537132977
136	0.567500065	0.2522321906
137	0.567500065	0.2519263703
138	0.567500065	0.2517056595
139	0.567500065	0.2514825305
140	0.567500065	0.2513641724
141	0.567500065	0.2512397159
142	0.567500065	0.2510457165
143	0.567500065	0.2508357323
144	0.567500065	0.2506259661
145	0.5566442793	0.2500182646
146	0.5566442793	0.2497092047
147	0.5679509403	0.2479932847
148	0.5679509403	0.2478916714
149	0.5682827667	0.2478023049
150	0.5682827667	0.2477163037
151	0.5682827667	0.2463101434
152	0.5682827667	0.2458194698
153	0.5682827667	0.2457031052
154	0.582418894	0.2447226444
155	0.582418894	0.243692806
156	0.5828703055	0.2426596
157	0.5828703055	0.2425644304
158	0.5828703055	0.2421140825
159	0.5828703055	0.242001648
160	0.5828703055	0.2419413308
161	0.5828703055	0.2413900864
162	0.5828703055	0.2412732636
163	0.5825407143	0.2407307746
164	0.5825407143	0.2404329564
165	0.5825407143	0.2402757207
166	0.5825407143	0.2396962025
167	0.5825407143	0.2394615441
168	0.5825407143	0.239387976
