iter	Passed	Remaining
0	260	51891
1	583	57793
2	923	60667
3	1190	58323
4	1486	57964
5	1768	57182
6	2064	56931
7	2339	56144
8	2614	55495
9	2967	56376
10	3271	56202
11	3548	55588
12	3826	55047
13	4096	54430
14	4369	53884
15	4635	53309
16	4948	53268
17	5266	53253
18	5524	52628
19	5784	52060
20	6062	51676
21	6333	51244
22	6606	50843
23	6885	50490
24	7220	50543
25	7512	50274
26	7768	49777
27	8051	49458
28	8326	49096
29	8576	48598
30	8839	48188
31	9121	47888
32	9502	48086
33	9771	47707
34	10015	47215
35	10265	46762
36	10516	46328
37	10762	45882
38	11011	45459
39	11271	45087
40	11618	45057
41	11890	44732
42	12150	44364
43	12404	43980
44	12677	43665
45	12951	43360
46	13201	42975
47	13459	42622
48	13802	42535
49	14058	42175
50	14311	41812
51	14557	41433
52	14811	41080
53	15062	40724
54	15331	40419
55	15587	40082
56	15934	39977
57	16203	39670
58	16456	39327
59	16710	38991
60	16970	38670
61	17227	38346
62	17510	38077
63	17843	37917
64	18274	37955
65	18542	37647
66	18793	37306
67	19066	37012
68	19339	36717
69	19614	36426
70	19882	36123
71	20168	35854
72	20550	35753
73	20833	35473
74	21102	35171
75	21383	34889
76	21656	34594
77	21928	34298
78	22189	33987
79	22518	33777
80	22806	33506
81	23069	33197
82	23322	32876
83	23583	32567
84	23866	32289
85	24140	32000
86	24392	31682
87	24716	31456
88	25100	31304
89	25381	31021
90	25651	30725
91	26298	30872
92	26657	30670
93	27093	30552
94	27367	30248
95	27637	29940
96	27912	29639
97	28213	29364
98	28486	29062
99	28739	28739
100	28991	28417
101	29362	28211
102	29635	27909
103	29905	27605
104	30186	27311
105	30460	27011
106	30731	26710
107	31010	26416
108	31279	26114
109	31669	25911
110	31928	25600
111	32184	25287
112	32431	24969
113	32715	24680
114	33001	24392
115	33281	24100
116	33655	23874
117	33938	23584
118	34211	23286
119	34488	22992
120	34742	22683
121	35002	22378
122	35246	22065
123	35514	21767
124	35863	21518
125	36139	21224
126	36397	20921
127	36652	20616
128	36913	20316
129	37164	20011
130	37436	19718
131	37706	19424
132	38053	19169
133	38333	18880
134	38595	18582
135	38862	18288
136	39125	17991
137	39376	17690
138	39626	17389
139	39872	17088
140	40214	16827
141	40509	16546
142	40765	16249
143	41060	15968
144	41376	15694
145	41761	15446
146	42152	15197
147	42572	14957
148	42900	14684
149	43162	14387
150	43423	14091
151	43759	13818
152	44104	13548
153	44368	13252
154	44680	12971
155	44990	12689
156	45252	12394
157	45508	12097
158	45778	11804
159	46035	11508
160	46281	11210
161	46554	10920
162	46857	10636
163	47199	10360
164	47453	10065
165	47694	9768
166	47951	9475
167	48205	9181
168	48460	8889
169	48710	8596
170	48968	8304
171	49331	8030
172	49623	7744
173	49892	7455
174	50169	7167
175	50445	6878
176	50702	6588
177	50947	6296
178	51218	6008
179	51705	5745
180	51979	5456
181	52235	5166
182	52515	4878
183	52828	4593
184	53140	4308
185	53458	4023
186	53862	3744
187	54139	3455
188	54545	3174
189	54841	2886
190	55117	2597
191	55393	2308
192	55670	2019
193	56182	1737
194	56700	1453
195	57050	1164
196	57413	874
197	57940	585
198	58433	293
199	58777	0
